tid;class;time;latitude;longitude;gid;semantic_stop_id;semantic_move_id
195001    ;4 ;0;125.5;16.5;1;404;
195001    ;4 ;6;124.5;17.1;2;404;
195001    ;4 ;12;123;17.7;3;404;
195001    ;4 ;18;121.7;18.4;4;404;
195001    ;4 ;24;120.5;19.1;5;;
195001    ;4 ;30;118.9;20.1;6;405;
195001    ;4 ;36;117.5;21;7;405;
195001    ;4 ;42;116.8;21.6;8;405;
195001    ;4 ;48;116.3;22.2;9;405;
195001    ;4 ;54;115.4;23;10;405;
195001    ;4 ;60;114.7;23.6;11;;
195001    ;4 ;66;114.2;24;12;106;
195001    ;4 ;72;113.8;24.4;13;106;
195001    ;4 ;78;113.3;24.8;14;106;
195001    ;4 ;84;112.8;25.2;15;106;
195001    ;4 ;90;112.3;25.5;16;106;
195001    ;4 ;96;111.7;25.7;17;106;
195001    ;4 ;102;111.2;25.8;18;106;
195001    ;4 ;108;110.8;25.7;19;406;
195001    ;4 ;114;110.3;25.6;20;406;
195001    ;4 ;120;109.6;25.4;21;406;
195001    ;4 ;126;108.6;25.3;22;;
195001    ;4 ;132;107.6;25.3;23;407;
195001    ;4 ;138;106.8;25.5;24;407;
195001    ;4 ;144;106.2;26.1;25;407;
195001    ;4 ;150;105.6;26.8;26;407;
195001    ;4 ;156;105.1;27.5;27;407;
195001    ;4 ;162;104.6;28.2;28;407;
195001    ;4 ;168;104.2;28.9;29;407;
195001    ;4 ;174;103.9;29.9;30;;
195001    ;4 ;180;103.8;31;31;408;
195001    ;4 ;186;104;31.9;32;408;
195001    ;4 ;192;104.3;32.8;33;408;
195001    ;4 ;198;105.2;34.5;34;;
195001    ;4 ;204;107.1;36.5;35;;
195001    ;4 ;210;108.6;37.9;36;;
195001    ;4 ;216;110.5;39.4;37;;
195001    ;4 ;222;113;41.8;38;;
195001    ;4 ;228;115.7;44.2;39;;
195001    ;4 ;234;118;46;40;;
195001    ;4 ;240;120.4;47.9;41;;
195001    ;4 ;246;123.2;49.8;42;;
195001    ;4 ;252;126;51.8;43;;
195001    ;4 ;258;129.3;53.6;44;;
195002    ;3 ;0;125;16.3;45;1949;
195002    ;3 ;6;123.5;16.5;46;1949;
195002    ;3 ;12;122.6;16.5;47;1949;
195002    ;3 ;18;121.7;16.6;48;1949;
195002    ;3 ;24;120.8;16.6;49;581;
195002    ;3 ;30;120;16.7;50;581;
195002    ;3 ;36;119.3;16.6;51;581;
195002    ;3 ;42;118.7;16.5;52;581;
195002    ;3 ;48;118.2;16.6;53;581;
195002    ;3 ;54;117.6;16.7;54;1950;
195002    ;3 ;60;116.9;16.8;55;1950;
195002    ;3 ;66;116;17;56;1950;
195002    ;3 ;72;115;17.3;57;1950;
195002    ;3 ;78;114;17.6;58;1950;
195002    ;3 ;84;113;18;59;;
195002    ;3 ;90;111.7;18.6;60;1951;
195002    ;3 ;96;110;19.4;61;1951;
195002    ;3 ;102;108.3;20.3;62;1951;
195002    ;3 ;108;106.6;20.9;63;;
195002    ;3 ;114;104.9;21.3;64;1952;
195002    ;3 ;120;103;21.6;65;1952;
195002    ;3 ;126;101.6;21.8;66;1952;
195002    ;3 ;132;100.7;21.8;67;1952;
195002    ;3 ;138;99.9;21.7;68;1952;
195002    ;3 ;144;99;21.8;69;582;
195002    ;3 ;150;98.2;21.8;70;582;
195002    ;3 ;156;97.4;21.9;71;582;
195002    ;3 ;162;96.7;22;72;582;
195002    ;3 ;168;95.9;22.1;73;582;
195002    ;3 ;174;95.2;22.2;74;1953;
195002    ;3 ;180;94.4;22.3;75;583;
195002    ;3 ;186;93.6;22.6;76;583;
195002    ;3 ;192;92.8;22.9;77;583;
195002    ;3 ;198;92.3;23.2;78;583;
195002    ;3 ;204;92;23.4;79;583;
195002    ;3 ;210;91.7;23.6;80;583;
195002    ;3 ;216;91.4;23.9;81;1954;
195002    ;3 ;222;91.1;24.4;82;584;
195002    ;3 ;228;90.9;25;83;584;
195002    ;3 ;234;90.8;25.6;84;584;
195002    ;3 ;240;90.7;26.3;85;584;
195002    ;3 ;246;90.8;27.2;86;584;
195002    ;3 ;252;91.3;28.2;87;;
195002    ;3 ;258;91.9;29.4;88;1955;
195002    ;3 ;264;92.2;30.8;89;1955;
195002    ;3 ;270;92.1;32.2;90;1955;
195002    ;3 ;276;91.9;33.2;91;1955;
195002    ;3 ;282;91.5;34.3;92;1955;
195002    ;3 ;288;91.1;35.2;93;;
195002    ;3 ;294;90.7;36;94;;
195002    ;3 ;300;90.1;37;95;;
195003    ;3 ;0;156;13.1;96;2321;
195003    ;3 ;6;154.6;12.4;97;2321;
195003    ;3 ;12;153;11.8;98;2321;
195003    ;3 ;18;151.2;11.2;99;;
195003    ;3 ;24;149.4;10.7;100;2322;
195003    ;3 ;30;148;10.4;101;2322;
195003    ;3 ;36;146.8;10.3;102;2322;
195003    ;3 ;42;145.6;10.2;103;2322;
195003    ;3 ;48;144.4;10.2;104;;
195003    ;3 ;54;143.1;10.3;105;2323;
195003    ;3 ;60;141.8;10.3;106;2323;
195003    ;3 ;66;140.9;10.4;107;2323;
195003    ;3 ;72;140;10.5;108;2323;
195003    ;3 ;78;139;10.6;109;2323;
195003    ;3 ;84;138;10.8;110;2323;
195003    ;3 ;90;137.3;11;111;;
195003    ;3 ;96;136.6;11.4;112;2324;
195003    ;3 ;102;135.9;12.2;113;2324;
195003    ;3 ;108;135.1;13.2;114;2324;
195003    ;3 ;114;134.2;14.4;115;2324;
195003    ;3 ;120;133.3;15.5;116;;
195003    ;3 ;126;132.6;16.4;117;2325;
195003    ;3 ;132;132;17.2;118;2325;
195003    ;3 ;138;131.3;18.1;119;2325;
195003    ;3 ;144;130.5;19;120;2325;
195003    ;3 ;150;129;20.4;121;;
195003    ;3 ;156;127.2;22;122;2326;
195003    ;3 ;162;125.7;23.4;123;2326;
195003    ;3 ;168;124.5;24.7;124;2326;
195003    ;3 ;174;123.6;25.5;125;;
195003    ;3 ;180;122.9;26.2;126;2327;
195003    ;3 ;186;122.3;27.7;127;2327;
195003    ;3 ;192;122;29.2;128;2327;
195003    ;3 ;198;122.2;30.3;129;2327;
195003    ;3 ;204;122.7;31.3;130;;
195003    ;3 ;210;123.4;32.3;131;2328;
195003    ;3 ;216;124.2;33.2;132;695;
195003    ;3 ;222;125.4;32.8;133;695;
195003    ;3 ;228;124.6;32.2;134;695;
195003    ;3 ;234;123.8;32.4;135;695;
195003    ;3 ;240;122.9;32.6;136;695;
195003    ;3 ;246;122.3;32.7;137;695;
195003    ;3 ;252;121.8;32.7;138;695;
195003    ;3 ;258;121.4;32.8;139;695;
195003    ;3 ;264;121;32.9;140;695;
195003    ;3 ;270;120.5;33;141;2328;
195003    ;3 ;276;119.9;33;142;696;
195003    ;3 ;282;119.3;33.1;143;696;
195003    ;3 ;288;118.8;33.3;144;696;
195003    ;3 ;294;118.3;34.1;145;696;
195003    ;3 ;300;118.3;35;146;696;
195003    ;3 ;306;118.7;35.7;147;696;
195003    ;3 ;312;119.2;36.3;148;696;
195003    ;3 ;318;119.5;36.6;149;696;
195003    ;3 ;324;119.9;36.9;150;2328;
195003    ;3 ;330;120.5;37.3;151;2328;
195003    ;3 ;336;121.2;37.8;152;;
195003    ;3 ;342;121.9;38.4;153;;
195003    ;3 ;348;123.2;39.7;154;;
195003    ;3 ;354;125.3;41.7;155;;
195003    ;3 ;360;127.5;43.7;156;;
195004    ;5 ;0;124.7;15.2;157;1409;
195004    ;5 ;6;123.5;15.7;158;1409;
195004    ;5 ;12;122.4;15.9;159;1409;
195004    ;5 ;18;121.3;16;160;1409;
195004    ;5 ;24;120.4;16.2;161;429;
195004    ;5 ;30;119.7;16.4;162;429;
195004    ;5 ;36;118.9;16.9;163;429;
195004    ;5 ;42;118.2;17.5;164;429;
195004    ;5 ;48;117.7;17.9;165;429;
195004    ;5 ;54;117.2;18.4;166;1410;
195004    ;5 ;60;116.4;19.1;167;430;
195004    ;5 ;66;115.7;19.8;168;430;
195004    ;5 ;72;115.3;20.3;169;430;
195004    ;5 ;78;115;20.7;170;430;
195004    ;5 ;84;114.8;21;171;430;
195004    ;5 ;90;114.5;21.3;172;430;
195004    ;5 ;96;114.2;21.6;173;430;
195004    ;5 ;102;113.9;21.9;174;1411;
195004    ;5 ;108;113.6;22.2;175;431;
195004    ;5 ;114;113.2;22.6;176;431;
195004    ;5 ;120;112.8;22.9;177;431;
195004    ;5 ;126;112.3;23.4;178;431;
195004    ;5 ;132;111.9;24.1;179;431;
195004    ;5 ;138;111.6;24.8;180;1411;
195004    ;5 ;144;111.5;25.5;181;432;
195004    ;5 ;150;111.5;26.2;182;432;
195004    ;5 ;156;111.6;26.7;183;432;
195004    ;5 ;162;111.7;27.2;184;432;
195004    ;5 ;168;111.9;27.9;185;432;
195004    ;5 ;174;112.1;28.6;186;432;
195004    ;5 ;180;112.3;29.3;187;1412;
195004    ;5 ;186;112.5;30;188;433;
195004    ;5 ;192;112.6;30.4;189;433;
195004    ;5 ;198;112.7;30.7;190;433;
195004    ;5 ;204;112.6;30.9;191;433;
195004    ;5 ;210;112.3;31.2;192;433;
195004    ;5 ;216;111.8;31.1;193;433;
195004    ;5 ;222;111.4;31;194;433;
195004    ;5 ;228;111;30.9;195;433;
195004    ;5 ;234;110.5;30.7;196;433;
195004    ;5 ;240;110.1;30.6;197;433;
195004    ;5 ;246;109.8;30.5;198;433;
195004    ;5 ;252;109.4;30.5;199;433;
195004    ;5 ;258;109;31;200;;
195004    ;5 ;264;108.3;32.3;201;1413;
195004    ;5 ;270;107.9;33.7;202;1413;
195004    ;5 ;276;107.7;35.1;203;1413;
195004    ;5 ;282;107.9;36.5;204;1413;
195004    ;5 ;288;108.3;37.9;205;;
195004    ;5 ;294;109.4;39.3;206;;
195004    ;5 ;300;111.2;40.5;207;;
195004    ;5 ;306;113.1;41.3;208;;
195004    ;5 ;312;114.9;41.9;209;1414;
195004    ;5 ;318;116.6;42.2;210;1414;
195004    ;5 ;324;118.2;42.4;211;1414;
195004    ;5 ;330;119.7;42.6;212;;
